taskBlock,GlobalBlock,BlockType,WaypointNumber,AppTime,AppTimeCorr,headPosX,headPosZ,pinDropPosX,pinDropPosZ,coinPosX,coinPosZ,coin_dist,head_Hand_dist,verdict
3,6,learning_block,1,1199.234,1.069,3.501,0.913,3.921,1.163,-7.83,-7.78,1.121696,0.488774, bad drop
3,6,learning_block,2,1219.088,20.923,-0.728,1.988,-1.161,2.137,-2.82,-9.65,1.360124,0.4579192, bad drop
3,6,learning_block,3,1240.294,42.129,0.75,-0.178,1.141,-0.399,-4.74,-5.92,1.302911,0.4491347, bad drop
3,6,learning_block,4,1264.706,66.541,-1.755,-2.25,-2.121,-2.51,-2.3,-5.56,0.3105975,0.4489499, good drop
3,6,learning_block,5,1278.732,80.567,1.436,-3.429,1.843,-3.533,-5.9,-3.81,0.4351333,0.4200774, good drop
3,6,learning_block,6,1290.671,92.506,0.638,1.89,0.62,2.312,-6.24,-9.99,0.7002712,0.4223837, good drop
3,7,learning_block,1,1361.771,1.084,3.706,1.678,4.097,1.966,-7.83,-7.78,1.506219,0.4856182, bad drop
3,7,learning_block,2,1391.16,30.473,-2.272,2.076,-2.745,2.079,-2.82,-9.65,0.3032003,0.4730095, good drop
3,7,learning_block,3,1410.261,49.574,0.172,-0.245,0.557,-0.492,-4.74,-5.92,0.8834603,0.457421, good drop
3,7,learning_block,4,1428.68,67.993,-1.756,-1.687,-2.146,-1.823,-2.3,-5.56,0.3799841,0.4130327, good drop
3,7,learning_block,5,1440.736,80.049,0.059,-2.795,0.364,-3.045,-5.9,-3.81,1.436975,0.3943666, bad drop
3,7,learning_block,6,1460.857,100.17,0.47,1.439,0.442,1.908,-6.24,-9.99,1.134228,0.4698351, bad drop
3,8,learning_block,1,1497.191,1.151,3.152,1.725,3.487,2.075,-7.83,-7.78,1.112459,0.4844843, bad drop
3,8,learning_block,2,1518.899,22.859,-2.017,1.882,-2.479,1.904,-2.82,-9.65,0.02086295,0.4625235, good drop
3,8,learning_block,3,1533.125,37.085,0.936,-0.338,1.377,-0.452,-4.74,-5.92,1.450395,0.4554964, bad drop
3,8,learning_block,4,1551.627,55.587,-2.101,-2.151,-2.432,-2.441,-2.3,-5.56,0.4108009,0.4400693, good drop
3,8,learning_block,5,1572.098,76.058,1.271,-2.821,1.69,-2.938,-5.9,-3.81,0.1960344,0.4350287, good drop
3,8,learning_block,6,1587.161,91.121,0.296,1.965,0.203,2.385,-6.24,-9.99,0.823068,0.4301732, good drop
3,9,learning_block,1,1636.853,2.203,2.174,1.217,2.513,1.499,-7.83,-7.78,0.4147023,0.4409592, good drop
3,9,learning_block,2,1649.543,14.893,-2.562,2.129,-2.994,2.171,-2.82,-9.65,0.563807,0.4340369, good drop
3,9,learning_block,3,1667.026,32.376,-0.247,-0.223,0.124,-0.487,-4.74,-5.92,0.8166362,0.4553427, good drop
3,9,learning_block,4,1682.438,47.788,-2.248,-1.822,-2.57,-2.083,-2.3,-5.56,0.4848057,0.4144937, good drop
3,9,learning_block,5,1699.904,65.254,0.758,-2.942,1.131,-3.021,-5.9,-3.81,0.6733941,0.3812742, good drop
3,9,learning_block,6,1719.625,84.975,0.489,1.89,0.43,2.26,-6.24,-9.99,0.8065453,0.3746745, good drop
3,10,learning_block,1,1752.838,0.968,2.844,1.165,3.162,1.518,-7.83,-7.78,0.4813108,0.4751137, good drop
3,10,learning_block,2,1773.176,21.306,-2.438,1.953,-2.895,1.955,-2.82,-9.65,0.3990413,0.4570044, good drop
3,10,learning_block,3,1797.704,45.834,-0.189,-0.206,0.119,-0.497,-4.74,-5.92,0.8070176,0.4237275, good drop
3,10,learning_block,4,1814.87,63.0,-1.884,-2.147,-2.247,-2.356,-2.3,-5.56,0.2138738,0.4188675, good drop
3,10,learning_block,5,1830.015,78.145,1.262,-3.288,1.602,-3.428,-5.9,-3.81,0.3831005,0.3676955, good drop
3,10,learning_block,6,1854.51,102.64,0.576,1.836,0.526,2.254,-6.24,-9.99,0.7784912,0.4209798, good drop
3,11,learning_block,1,1891.064,1.956,2.677,0.948,2.973,1.294,-7.83,-7.78,0.1967782,0.4553372, good drop
3,11,learning_block,2,1910.081,20.973,-2.59,1.795,-2.971,1.844,-2.82,-9.65,0.474228,0.384138, good drop
3,11,learning_block,3,1926.462,37.354,-0.037,-0.922,0.227,-1.264,-4.74,-5.92,0.0456635,0.4320417, good drop
3,11,learning_block,4,1940.555,51.447,-1.926,-2.531,-2.277,-2.8,-2.3,-5.56,0.6256137,0.4422239, good drop
3,11,learning_block,5,1955.265,66.157,1.144,-3.536,1.522,-3.517,-5.9,-3.81,0.5008363,0.3784772, good drop
3,11,learning_block,6,1969.593,80.485,0.604,2.035,0.689,2.505,-6.24,-9.99,0.4984703,0.4776243, good drop
3,12,other_block,1,2196.501,1.269,-2.819,2.196,-3.293,2.186,-2.82,-9.65,0.8435138,0.4741055, good drop
3,12,other_block,2,2212.999,17.767,0.459,2.079,0.457,2.543,-6.24,-9.99,0.5427898,0.4640043, good drop
3,12,other_block,3,2235.824,40.592,2.747,1.049,3.131,1.284,-7.83,-7.78,0.3413947,0.4502011, good drop
3,12,other_block,4,2251.838,56.606,0.003,-1.175,0.44,-1.292,-4.74,-5.92,0.2397894,0.4523914, good drop
3,12,other_block,5,2263.243,68.011,-2.05,-2.479,-2.36,-2.805,-2.3,-5.56,0.6587346,0.4498622, good drop
3,12,other_block,6,2281.259,86.027,1.309,-3.454,1.724,-3.437,-5.9,-3.81,0.3456208,0.415348, good drop
3,13,other_block,1,2380.205,1.202,2.537,1.105,2.931,1.339,-7.83,-7.78,0.1904577,0.4582488, good drop
3,13,other_block,2,2392.144,13.141,-2.27,2.01,-2.705,2.009,-2.82,-9.65,0.2325248,0.4350011, good drop
3,13,other_block,3,2403.767,24.764,-0.348,-0.813,-0.039,-1.138,-4.74,-5.92,0.2889987,0.4484484, good drop
3,13,other_block,4,2413.468,34.465,-2.119,-2.564,-2.521,-2.774,-2.3,-5.56,0.7112706,0.453546, good drop
3,13,other_block,5,2429.932,50.929,0.818,-3.588,1.315,-3.607,-5.9,-3.81,0.7019638,0.497363, good drop
3,13,other_block,6,2442.272,63.269,0.507,1.776,0.56,2.22,-6.24,-9.99,0.8028255,0.4471521, good drop
3,14,other_block,1,2478.806,1.269,-2.536,2.147,-3.004,2.189,-2.82,-9.65,0.5803831,0.4698808, good drop
3,14,other_block,2,2492.348,14.811,1.002,-3.229,1.374,-3.307,-5.9,-3.81,0.4736804,0.3800895, good drop
3,14,other_block,3,2504.821,27.284,2.705,1.159,3.028,1.464,-7.83,-7.78,0.3487221,0.4442454, good drop
3,14,other_block,4,2516.678,39.141,-0.034,-0.917,0.386,-1.068,-4.74,-5.92,0.2971617,0.4463194, good drop
3,14,other_block,5,2526.58,49.043,-1.973,-2.667,-2.335,-2.944,-2.3,-5.56,0.7799914,0.4558212, good drop
3,14,other_block,6,2543.544,66.007,0.642,2.293,0.669,2.738,-6.24,-9.99,0.2744446,0.4458183, good drop
3,15,other_block,1,2585.273,1.235,0.617,-2.99,1.056,-3.045,-5.9,-3.81,0.7465037,0.4424319, good drop
3,15,other_block,2,2599.132,15.094,-2.657,1.942,-3.118,2.025,-2.82,-9.65,0.6303626,0.4684122, good drop
3,15,other_block,3,2614.16,30.122,2.839,1.169,3.143,1.482,-7.83,-7.78,0.4441195,0.4363313, good drop
3,15,other_block,4,2628.454,44.416,0.571,2.349,0.615,2.811,-6.24,-9.99,0.2324324,0.4640905, good drop
3,15,other_block,5,2640.058,56.02,-0.02,-1.025,0.34,-1.176,-4.74,-5.92,0.1872975,0.3903857, good drop
3,15,other_block,6,2650.161,66.123,-2.35,-2.989,-2.68,-3.218,-2.3,-5.56,1.171779,0.4016728, bad drop
3,16,other_block,1,2718.221,1.118,0.518,-3.066,0.942,-3.22,-5.9,-3.81,0.8664215,0.4511009, good drop
3,16,other_block,2,2731.998,14.895,-2.777,2.117,-3.194,2.193,-2.82,-9.65,0.7537746,0.4238691, good drop
3,16,other_block,3,2744.42,27.317,2.711,1.021,2.994,1.29,-7.83,-7.78,0.2137785,0.3904485, good drop
3,16,other_block,4,2759.416,42.313,0.429,2.109,0.455,2.559,-6.24,-9.99,0.5308003,0.4507505, good drop
3,16,other_block,5,2772.256,55.153,-0.092,-1.509,0.271,-1.53,-4.74,-5.92,0.2406486,0.3636069, good drop
3,16,other_block,6,2781.24,64.137,-2.023,-2.857,-2.364,-3.055,-2.3,-5.56,0.895062,0.3943159, good drop
3,17,other_block,1,2814.351,1.302,-2.838,2.12,-3.245,2.166,-2.82,-9.65,0.7908725,0.4095913, good drop
3,17,other_block,2,2828.011,14.962,1.192,-3.253,1.564,-3.268,-5.9,-3.81,0.289479,0.3723023, good drop
3,17,other_block,3,2843.389,30.34,2.676,1.309,2.994,1.602,-7.83,-7.78,0.4461299,0.4324037, good drop
3,17,other_block,4,2863.81,50.761,0.001,-1.452,0.395,-1.532,-4.74,-5.92,0.3034897,0.4020398, good drop
3,17,other_block,5,2873.129,60.08,-2.098,-2.979,-2.446,-3.153,-2.3,-5.56,1.013602,0.3890758, good drop
3,17,other_block,6,2888.156,75.107,0.507,2.207,0.57,2.624,-6.24,-9.99,0.4170261,0.4217321, good drop
3,18,other_block,1,2922.755,2.237,-2.545,1.982,-2.998,2.013,-2.82,-9.65,0.5109524,0.4540595, good drop
3,18,other_block,2,2936.463,15.945,1.141,-3.329,1.537,-3.252,-5.9,-3.81,0.303609,0.4034167, good drop
3,18,other_block,3,2948.185,27.667,2.651,1.221,2.997,1.537,-7.83,-7.78,0.3904754,0.4685851, good drop
3,18,other_block,4,2959.407,38.889,-0.166,-0.964,0.237,-1.158,-4.74,-5.92,0.1468464,0.4472639, good drop
3,18,other_block,5,2971.562,51.044,-2.038,-2.38,-2.425,-2.552,-2.3,-5.56,0.4788744,0.4235009, good drop
3,18,other_block,6,2987.592,67.074,0.562,2.059,0.589,2.469,-6.24,-9.99,0.5550784,0.4108881, good drop
3,19,other_block,1,3033.795,1.236,0.874,-3.251,1.302,-3.268,-5.9,-3.81,0.5257881,0.4283375, good drop
3,19,other_block,2,3044.933,12.374,-2.668,1.981,-3.113,2.032,-2.82,-9.65,0.6267455,0.4479129, good drop
3,19,other_block,3,3057.206,24.647,2.561,1.096,2.901,1.368,-7.83,-7.78,0.1959127,0.4354124, good drop
3,19,other_block,4,3066.491,33.932,0.562,2.371,0.573,2.827,-6.24,-9.99,0.2475849,0.4561327, good drop
3,19,other_block,5,3076.042,43.483,-0.238,-1.253,0.117,-1.437,-4.74,-5.92,0.16,0.3998512, good drop
3,19,other_block,6,3083.655,51.096,-2.223,-2.91,-2.598,-3.105,-2.3,-5.56,1.033526,0.4226701, good drop
3,20,other_block,1,3125.033,1.068,-2.742,1.891,-3.163,1.93,-2.82,-9.65,0.6635783,0.4228026, good drop
3,20,other_block,2,3140.546,16.581,1.058,-3.269,1.461,-3.183,-5.9,-3.81,0.3488029,0.412074, good drop
3,20,other_block,3,3152.769,28.804,2.402,1.222,2.689,1.555,-7.83,-7.78,0.3716034,0.4396112, good drop
3,20,other_block,4,3163.839,39.874,0.563,2.415,0.567,2.785,-6.24,-9.99,0.2827245,0.3700216, good drop
